username,encodedUsername,link,accountNumber,accountCreated,accountAge,linksRef
TommyDeuce,TommyDeuce,https://fark.com/users/TommyDeuce,297552,2006-08-03,15,166
Madman drummers bummers,Madman%20drummers%20bummers,https://fark.com/users/Madman%20drummers%20bummers,347116,2007-06-26,14,22
NINEv2,NINEv2,https://fark.com/users/NINEv2,967592,2016-04-16,5,78
SirDigbyChickenCaesar,SirDigbyChickenCaesar,https://fark.com/users/SirDigbyChickenCaesar,756951,2012-02-22,9,20
BigNumber12,BigNumber12,https://fark.com/users/BigNumber12,449253,2008-12-27,13,517
fragMasterFlash,fragMasterFlash,https://fark.com/users/fragMasterFlash,214081,2005-02-20,16,212
The Irresponsible Captain,The%20Irresponsible%20Captain,https://fark.com/users/The%20Irresponsible%20Captain,561405,2010-05-13,11,13
foo monkey,foo%20monkey,https://fark.com/users/foo%20monkey,248942,2005-09-20,16,148
WTFDYW,WTFDYW,https://fark.com/users/WTFDYW,336805,2007-04-28,14,1
The Irresponsible Captain,The%20Irresponsible%20Captain,https://fark.com/users/The%20Irresponsible%20Captain,561405,2010-05-13,11,13
Kit Fister,Kit%20Fister,https://fark.com/users/Kit%20Fister,676973,2011-06-14,10,272
guestguy,guestguy,https://fark.com/users/guestguy,413430,2008-07-01,13,1
Explodo,Explodo,https://fark.com/users/Explodo,357405,2007-08-25,14,None
gunther_bumpass,gunther_bumpass,https://fark.com/users/gunther_bumpass,426350,2008-09-03,13,2
AAAAGGGGHHHH,AAAAGGGGHHHH,https://fark.com/users/AAAAGGGGHHHH,1091078,2019-11-06,2,129
rightClick,rightClick,https://fark.com/users/rightClick,989710,2016-12-31,5,None
Destructor,Destructor,https://fark.com/users/Destructor,330627,2007-03-17,14,398
Someone Else's Alt,Someone%20Else%27s%20Alt,https://fark.com/users/Someone%20Else%27s%20Alt,1010369,2017-08-18,4,1
Obituary Birthday,Obituary%20Birthday,https://fark.com/users/Obituary%20Birthday,580621,2010-07-27,11,None
LordOfThePings,LordOfThePings,https://fark.com/users/LordOfThePings,25290,2002-02-26,19,10
bronskrat,bronskrat,https://fark.com/users/bronskrat,94959,2003-06-11,18,2
fat boy,fat%20boy,https://fark.com/users/fat%20boy,142831,2004-03-02,17,102
RolandTGunner,RolandTGunner,https://fark.com/users/RolandTGunner,513412,2009-11-10,12,5
Chompachangas,Chompachangas,https://fark.com/users/Chompachangas,969470,2016-05-09,5,5
DaMoGan,DaMoGan,https://fark.com/users/DaMoGan,183649,2004-09-14,17,None
iamskibibitz,iamskibibitz,https://fark.com/users/iamskibibitz,381714,2008-01-16,13,None
KarmicDisaster,KarmicDisaster,https://fark.com/users/KarmicDisaster,206530,2005-01-14,16,5
SirDigbyChickenCaesar,SirDigbyChickenCaesar,https://fark.com/users/SirDigbyChickenCaesar,756951,2012-02-22,9,20
baronbloodbath,baronbloodbath,https://fark.com/users/baronbloodbath,532591,2010-01-23,11,23
Another Government Employee,Another%20Government%20Employee,https://fark.com/users/Another%20Government%20Employee,96270,2003-06-19,18,15
Private_Citizen,Private_Citizen,https://fark.com/users/Private_Citizen,672778,2011-06-01,10,103
greggerm,greggerm,https://fark.com/users/greggerm,199994,2004-12-10,17,None
thespindrifter,thespindrifter,https://fark.com/users/thespindrifter,177018,2004-08-16,17,30
thespindrifter,thespindrifter,https://fark.com/users/thespindrifter,177018,2004-08-16,17,30
